"","df","logLik","AICc","Delta","Weight"
"1/2/3/4/5/6/8/11",12,-3293.38728214702,6611.04634129753,5.52206868331359,0.00382182341717067
"1/2/3/4/5/6/8/10/11/12",14,-3291.34551043076,6611.05751300812,5.53324039390645,0.00380053477757754
"1/2/3/4/5/6/7/9/11",13,-3292.37196611774,6611.06128184316,5.53700922894132,0.00379337972693577
"1/2/4/5/6/10/12",11,-3294.45081427912,6611.13139357129,5.60712095706731,0.00366270339104247
"1/2/4/5/6/7/10",11,-3294.45514288864,6611.14005079033,5.61577817610942,0.00364688324259546
"1/2/3/5/6/10/11",11,-3294.46558169599,6611.16092840504,5.63665579081953,0.00360901213945109
"1/2/4/5/6/7/8",11,-3294.48111055657,6611.19198612619,5.66771351197167,0.00355340119792188
"1/2/4/6/11",9,-3296.51873146584,6611.1938486832,5.66957606898541,0.00355009353217804
"1/2/4/5/6/7/9/12",12,-3293.48746053626,6611.246698076,5.7224254617804,0.0034575119950508
"1/2/4/5/6/7/8/11",12,-3293.49814022792,6611.26805745933,5.74378484511271,0.00342078330763278
"1/2/4/5/6/9/10",11,-3294.54181958101,6611.31340417507,5.78913156084946,0.00334409533571637
"1/2/4/5/6/7/9",11,-3294.56749680914,6611.36475863133,5.84048601711129,0.0032593212760431
"1/2/4/5/6/8/9/11",12,-3293.56387759421,6611.39953219191,5.87525957768958,0.00320314197693367
"1/2/4/5/6/8/10",11,-3294.59691813568,6611.42360128441,5.89932867019343,0.00316482464497077
"1/2/3/4/5/6/9/11/12",13,-3292.56878093265,6611.45491147296,5.93063885874562,0.00311566482163237
"1/2/3/4/5/6/9",11,-3294.65922478567,6611.54821458439,6.02394197017657,0.00297365251315779
"1/2/5/6/7",9,-3296.6959599962,6611.54830574393,6.02403312970819,0.00297351697786149
"1/2/3/4/5/6/8/9/10/11/12",15,-3290.56549615419,6611.55020628219,6.02593366796737,0.00297069267860585
"1/2/4/5/6/7/8/9/10/12",14,-3291.59585114722,6611.55819444104,6.0339218268191,0.00295885115982292
"1/2/4/5/6/7/9/10/12",13,-3292.62949827326,6611.57634615419,6.05207353997503,0.00293211854524822
"1/2/4/5/6/7/8/9/11/12",14,-3291.60906768364,6611.58462751388,6.06035489965961,0.00292000268235808
"1/2/3/5/6/9/10/11",12,-3293.67248378009,6611.61674456366,6.09247194944419,0.0028734862389495
"1/2/3/4/5/6/10",11,-3294.69455173921,6611.61886849148,6.09459587725723,0.00287043632001639
"1/4/5/6/7",9,-3296.7332698807,6611.62292551291,6.09865289869595,0.00286461951089645
"1/2/5/6/11",9,-3296.74471428499,6611.6458143215,6.12154170728263,0.00283202252936488
"1/2/3/4/5/6/12",11,-3294.73486185163,6611.69948871631,6.17521610209133,0.00275702978027689
"1/2/4/6/9/10/11",11,-3294.74939056355,6611.72854614016,6.20427352593742,0.00271726326644979
"1/2/4/6",8,-3297.8100598806,6611.7451197612,6.22084714698394,0.00269483886233869
"1/2/3/4/5/6/7/9/11/12",14,-3291.69955034617,6611.76559283894,6.24132022472349,0.0026673937507091
"1/2/4/5/6/9/12",11,-3294.7717414697,6611.77324795245,6.24897533823423,0.002657203663748
"1/4/5/6/7/10/11/12",12,-3293.764654022,6611.80108504749,6.27681243327606,0.00262047544295685
"1/2/3/4/5/6/8/11/12",13,-3292.75243024746,6611.82221010259,6.29793748837437,0.00259294226485716
"1/2/4/5/6/7/8/9/12",13,-3292.75899435725,6611.83533832218,6.31106570796328,0.00257597764686113
"1/2/3/5/6/11",10,-3295.83063214768,6611.85256864319,6.32829602897345,0.00255388050784801
"1/3/4/5/6/7/10/12",12,-3293.81037092737,6611.89251885822,6.36824624400106,0.00250337259996892
"1/2/5/6/7/10/12",11,-3294.86047606529,6611.95071714363,6.42644452941204,0.00243157627530312
"1/2/4/5/6/8/9/11/12",13,-3292.81992370943,6611.95719702654,6.43292441231733,0.00242371085915782
"1/4/5/6/7/8/10/11/12",13,-3292.83420763107,6611.98576486981,6.46149225559475,0.00238933684547304
"1/2/5/6/7/10/11/12",12,-3293.87721021906,6612.02619744161,6.50192482739567,0.00234151831384708
"1/2/3/5/6",9,-3296.9418112134,6612.04000817833,6.51573556410949,0.00232540496570687
"1/2/3/4/5/6/7/8/10/11",14,-3291.84355796398,6612.05360807456,6.5293354603391,0.00230964597348257
"1/2/3/4/6/11",10,-3295.93154578642,6612.05439592067,6.53012330645379,0.00230873632985587
"1/2/5/6/7/12",10,-3295.94234145658,6612.07598726098,6.5517146467655,0.00228394602868724
"1/3/4/5/6/7/8/10/12",13,-3292.88929094132,6612.09593149032,6.57165887610154,0.00226128344175418
"1/2/3/4/6/10/11",11,-3294.95932264887,6612.1484103108,6.62413769658087,0.00220272038790436
"1/2/5/6/10",9,-3297.01607706344,6612.1885398784,6.66426726418285,0.00215896373148225
"1/2/3/4/5/6/8",11,-3294.98353729181,6612.19683959668,6.67256698245728,0.00215002290053982
"1/2/5/6/10/11/12",11,-3295.03600977757,6612.3017845682,6.77751195398105,0.00204011465097422
"1/2/5/6/7/10/11",11,-3295.04888200717,6612.3275290274,6.80325641318541,0.00201402212156776
"1/5/6/7/10/12",10,-3296.0998064879,6612.39091732362,6.86664470940377,0.00195119036520091
"1/2/4/5/6/8/10/12",12,-3294.07049107672,6612.41275915691,6.88848654269714,0.00192999751118939
"1/4/5/6/7/12",10,-3296.13114165772,6612.45358766327,6.92931504904936,0.00189099748596322
"1/2/3/4/5/6/7/8/9/10/11",15,-3291.01766600538,6612.45454598456,6.93027337034255,0.00189009161143219
"1/2/4/5/6/8/9",11,-3295.11719445121,6612.46415391548,6.9398813012649,0.00188103345157636
"1/2/5/6/7/9/10/11/12",13,-3293.08539672559,6612.48814305886,6.96387044464154,0.0018586060335151
"1/2/3/4/5/6/7/8/9/11/12",15,-3291.04099698297,6612.50120793974,6.97693532552512,0.00184650437002867
"1/2/3/4/5/6/7/8/11",13,-3293.0934683529,6612.50428631346,6.98001369924623,0.00184366444091583
"1/2/5/6/7/8/10/12",12,-3294.13059094229,6612.53295888807,7.00868627384989,0.00181742169901555
"1/2/3/5/6/7/12",11,-3295.18332550656,6612.59641602617,7.07214341194958,0.00176066271141044
"1/4/5/6/7/11/12",11,-3295.18969703041,6612.60915907388,7.08488645965735,0.0017494802693746
"1/2/5/6/7/9/10/11",12,-3294.17909117549,6612.62995935446,7.10568674024671,0.0017313797164258
"1/2/4/5/6/7/8/10",12,-3294.18335945138,6612.63849590624,7.11422329202105,0.00172400545900866
"1/2/5/6/7/11",10,-3296.22671757723,6612.64473950229,7.12046688807459,0.00171863185418715
"1/2/4/6/7/12",10,-3296.23720934042,6612.66572302867,7.14145041445136,0.00170069463682285
"1/4/5/6/7/9/10/12",12,-3294.22084894702,6612.71347489753,7.18920228331535,0.00166056987735767
"1/2/3/5/6/7/10/11/12",13,-3293.20003961967,6612.71742884701,7.19315623279454,0.0016572902156292
"1/2/3/4/5/6/8/9/11",13,-3293.20114889744,6612.71964740256,7.19537478834263,0.0016554528396964
"1/2/3/4/5/6/7/9/12",13,-3293.2078216645,6612.73299293667,7.2087203224537,0.0016444431618846
"1/4/5/6/7/10",10,-3296.27118006587,6612.73366447957,7.20939186535361,0.00164389109750868
"1/2/3/4/6/9/10/11",12,-3294.24735085695,6612.76647871738,7.24220610316388,0.0016171396380998
"1/2/4/5/6/7/8/9/11",13,-3293.23309657209,6612.78354275185,7.25927013763157,0.00160340086789316
"1/2/5/6/12",9,-3297.32297399834,6612.8023337482,7.27806113398583,0.00158840666725546
"1/2/4/6/7/11",10,-3296.3055903155,6612.80248497883,7.27821236460932,0.00158828656393102
"1/3/4/5/6/7",10,-3296.31424547533,6612.81979529848,7.29552268425869,0.00157459900930574
"1/2/5/6/9/10/11/12",12,-3294.27558011689,6612.82293723726,7.29866462303835,0.00157212730445553
"1/2/3/5/6/7/11",11,-3295.29897871546,6612.82772244398,7.30344982976476,0.0015683703236542
"1/4/5/6/10",9,-3297.33972679897,6612.83583934946,7.31156673523947,0.00156201806570933
"1/2/5/6/7/8/10/11/12",13,-3293.26492139298,6612.84719239363,7.32291977940986,0.00155317635448848
"1/2/4/6/7/10/11/12",12,-3294.31051801117,6612.89281302582,7.3685404115995,0.00151814892303194
"1/2/4/6/9/11",10,-3296.3549308629,6612.90116607363,7.37689345941635,0.00151182156014706
"1/3/4/5/6/7/12",11,-3295.34167251605,6612.91311004516,7.38883743093811,0.00150281988899625
"1/2/4/6/10/11/12",11,-3295.34282660344,6612.91541821993,7.39114560571579,0.00150108650394597
"1/2/5/6/8/10/11",11,-3295.34486249427,6612.91949000159,7.39521738737494,0.00149803356447842
"1/4/5/6/7/8/9/10/12",13,-3293.31881921242,6612.95498803252,7.43071541829795,0.00147167951465026
"1/2/4/5/6/9/10/12",12,-3294.3560800252,6612.98393705389,7.45966443967518,0.00145053109950079
"1/2/3/4/5/6/7/8",12,-3294.35998777519,6612.99175255387,7.46747993965073,0.001444873847377
"1/2/3/4/5/6/8/12",12,-3294.37836528462,6613.02850757272,7.50423495850282,0.0014185631675053
"1/2/3/5/6/7/10/11",12,-3294.37887400015,6613.02952500379,7.50525238957562,0.00141784170590755
"1/4/5/6/7/9/10/11/12",13,-3293.36247351842,6613.04229664452,7.51802403030342,0.00140881647090367
"1/2/3/5/6/7",10,-3296.42725447018,6613.04581328818,7.52154067396532,0.00140634149468709
"1/2/3/4/5/6/7/8/9/12",14,-3292.34641176272,6613.05931567203,7.5350430578128,0.0013968789908764
"1/2/3/5/6/7/9/10/11/12",14,-3292.35199421709,6613.07048058078,7.54620796655945,0.00138910270322516
"1/2/4/6/7",9,-3297.46997242067,6613.09633059287,7.57205797865117,0.00137126407292638
"1/4/5/6/7/8/11/12",12,-3294.41865174317,6613.10908048982,7.58480787560075,0.0013625501400638
"1/2/3/5/6/10/11/12",12,-3294.42231573962,6613.11640848273,7.59213586851092,0.00135756689604988
"1/2/4/6/11/12",10,-3296.46795729683,6613.12721894149,7.60294632727255,0.00135024873157334
"1/5/6/7/8/10/12",11,-3295.45370978562,6613.13718458429,7.61291197006813,0.00134353741782618
"1/2/3/4/5/6/7/10",12,-3294.434741122,6613.14125924748,7.61698663326388,0.00134080297302314
"1/2/5/6/7/8/12",11,-3295.47642591257,6613.18261683819,7.65834422397711,0.00131336148899999
"1/2/4/6/7/10/11",11,-3295.47757488261,6613.18491477827,7.66064216405084,0.00131185334257499
"1/2/3/4/5/6/8/9/11/12",14,-3292.41097037131,6613.18843288922,7.66416027500509,0.00130954774819628
"1/2/4/6/7/8/12",11,-3295.48543851265,6613.20064203836,7.67636942414174,0.00130157786743268
"1/2/3/5/6/7/9/10/11",13,-3293.44963196898,6613.21661354562,7.69234093140494,0.00129122517927734
"1/2/5/6/7/11/12",11,-3295.49347255174,6613.21671011654,7.69243750232636,0.00129116283337989
"1/2/3/4/5/6/7/8/9/10/12",15,-3291.40397022837,6613.22715443053,7.70288181631258,0.0012844377533554
"1/2/3/5/6/7/10/12",12,-3294.47903261004,6613.22984222356,7.705569609343,0.00128271276129969
"1/2/3/5/6/7/8/12",12,-3294.49566556361,6613.26310813069,7.73883551647668,0.00126155391436708
"1/2/3/4/5/6/7/9",12,-3294.49780368658,6613.26738437664,7.74311176241918,0.00125885943855013
"1/2/4/6/7/8/10/11/12",13,-3293.4889467859,6613.29524317947,7.77097056525236,0.00124144584215053
"1/2/3/5/6/7/11/12",12,-3294.51752397974,6613.30682496297,7.7825523487536,0.00123427753912986
"1/2/5/6/11/12",10,-3296.56251601781,6613.31633638346,7.79206376923776,0.00122842160838721
"1/2/4/5/6/7/9/10",12,-3294.52322845186,6613.3182339072,7.79396129298493,0.00122725668150697
"1/2/4/6/7/11/12",11,-3295.54490724788,6613.31957950882,7.79530689459807,0.00122643125992507
"1/2/3/5/6/7/8/10/11/12",14,-3292.48088091781,6613.32825398221,7.80398136799522,0.00122112345617755
"1/2/5/6/9",9,-3297.59165211306,6613.33968997764,7.81541736342479,0.00121416099967092
"1/2/3/4/5/6/10/12",12,-3294.53442493621,6613.34062687591,7.81635426169305,0.00121359236020166
"1/2/5/6/9/11",10,-3296.59393882334,6613.37918199451,7.85490938028761,0.00119042131964169
"1/2/4/5/6/8/9/12",12,-3294.55734268021,6613.3864623639,7.86218974968051,0.00118609584371363
"1/4/5/6/7/8/9/10/11/12",14,-3292.5179398143,6613.4023717752,7.87809916098195,0.001176698227593
"1/3/4/5/6/7/10/11/12",13,-3293.54276529547,6613.40288019862,7.87860758439911,0.00117639913514409
"1/2/4/6/7/8/10/12",12,-3294.56788451557,6613.40754603462,7.88327342040247,0.00117365789121647
"1/2/3/5/6/7/8/10/12",13,-3293.54677561839,6613.41090084444,7.88662823022514,0.0011716908419358
"1/2/3/4/5/6/9/10",12,-3294.57618481449,6613.42414663246,7.89987401824692,0.00116395649781757
"1/2/3/4/5/6/7/9/10/12",14,-3292.52887805055,6613.42424824769,7.89997563347515,0.00116389736146728
"1/2/5/6/7/8/9/10/11/12",14,-3292.53738701713,6613.44126618086,7.91699356663958,0.00115403581300658
"1/3/4/5/6/7/8/10/11/12",14,-3292.53754791248,6613.44158797155,7.9173153573347,0.00115385014894999
"1/2/4/6/7/10/12",11,-3295.6101960679,6613.45015714886,7.9258845346385,0.00114891695160334
"1/2/3/5/6/9/11",11,-3295.61689832942,6613.4635616719,7.93928905767825,0.00114124235702777
"1/2/5/6/8/9/10/11",12,-3294.60871334265,6613.48920368878,7.96493107456627,0.00112670387726782
"1/2/3/4/6/7/11",11,-3295.63502417262,6613.4998133583,7.97554074408436,0.00112074272482042
"1/2/4/5/6/8/9/10",12,-3294.61823382762,6613.50824465872,7.98397204450521,0.00111602801029272
