"","(Intercept)","FinFSLdat_AnnEsts","FinFSLdat_SpringDat","FinFSLdat_SummerDat","FinSouthSST_AnnEsts","FSL_months_Apr","FSL_months_Jan","FSL_months_May","FSL_months_Oct","FSLdat_Autumn","s(Ages)","SST_South_Months_Jun","df","logLik","AICc","delta","weight"
"1570",8.94757122381756,4.27139991850856,NA,NA,NA,NA,0.11404483526557,NA,NA,NA,"+",0.34841421812267,8,-2285.44054500427,4587.04343499163,61.9977916196667,4.84155678729008e-15
"1550",3.68403076548992,3.26262772409527,NA,0.909234111858049,0.416117594967003,NA,NA,NA,NA,NA,"+",0.236240272383155,9,-2284.61884772188,4587.44085571465,62.3952123426807,3.96904677084781e-15
"1578",3.46699992693545,3.39312973315871,NA,NA,0.4081394004434,NA,0.318048417666123,NA,NA,NA,"+",0.273176669530817,9,-2284.90677392328,4588.01670811745,62.9710647454804,2.97605844742553e-15
"2004",6.38670581156361,8.29106097140457,-2.14016148537512,NA,NA,4.7876592467324,NA,1.50150456408102,-1.42443817746044,-9.54832608528612,"+",0.598888994127231,12,-2310.38267290039,4645.11512158554,120.069478213571,1.18816979790093e-27
"2012",3.4919947111535,7.8339942690325,-2.17716198194074,NA,0.210260548838494,4.73900762323116,NA,1.5395111534147,-1.50304127339759,-9.42312866658915,"+",0.567242559357094,13,-2310.14618696786,4646.70090367759,121.655260305623,5.37687948876741e-28
"980",15.4906839181235,9.59515773411761,-2.39557135679193,NA,NA,6.19160849244862,NA,0.804709164500009,-3.03920307115034,-7.79927094180464,"+",NA,11,-2312.54494257727,4647.38551785331,122.339874481343,3.81828396307527e-28
"1876",6.22005084204555,6.60568393831043,-1.6757503554114,NA,NA,4.9019675139408,NA,1.45813930689731,NA,-9.88279372638826,"+",0.620366128151662,11,-2312.6428490645,4647.58133082778,122.535687455808,3.46216671099633e-28
"1940",6.22433256740473,8.62119666744701,-2.06359044737301,NA,NA,4.04493366732449,NA,NA,-1.38805355457153,-7.1990258602657,"+",0.591149246759965,11,-2312.74873084466,4647.79309438809,122.747451016117,3.11432622902172e-28
"988",8.30470308772465,8.47546655044115,-2.44562917543021,NA,0.447580368754793,5.92999666453029,NA,0.964113126244578,-3.02492596562143,-7.7294496951643,"+",NA,12,-2311.92997007182,4648.2097159284,123.164072556432,2.52869171378541e-28
"1988",5.10737843916748,9.001875373694,-2.03347070681427,NA,NA,NA,NA,-0.723538217187177,-1.71127544519716,-2.27025180860069,"+",0.645665700305687,11,-2313.39590622672,4649.0874451522,124.041801780234,1.63041966996429e-28
"1884",3.44425408839491,6.07988733252111,-1.68662063259567,NA,0.200984956369306,4.86150312472979,NA,1.49217180379472,NA,-9.78076572674548,"+",0.59124816117568,12,-2312.41692624918,4649.18362828312,124.137984911149,1.55386578761276e-28
"1948",3.37578092531726,8.18027042591852,-2.09804483734179,NA,0.20661462693272,3.97865910780545,NA,NA,-1.46438965363939,-7.01757252375293,"+",0.559858761301595,12,-2312.51647844186,4649.38273266846,124.337089296497,1.40662566349994e-28
"916",15.3397129969921,9.76403329007991,-2.35251030701807,NA,NA,5.78129333634695,NA,NA,-3.00832512028256,-6.54469502759313,"+",NA,10,-2314.85909561972,4649.96427625062,124.91863287865,1.05171471986852e-28
