"","Year","FishName","Ages","Site","OtoWidth","FSLann","TannS","TsummS","TautS","TwinS","TsprS","TannW","TsummW","TautW","TwinW","TsprW"
"563",1972,"X050263",19,"South",0.768798755969535,0.935864815360779,1.00327184614411,1.01864780511996,1.01205445935998,0.999768647392705,0.978756961941205,0.99505426381467,1.00728408331833,1.01467571481409,0.973798732606379,0.980247464581638
"564",1972,"X050103",15,"South",1.03117816620964,0.9358408007446,1.00324466408397,1.01862791211113,1.01202190248576,0.999738301675405,0.978730827941206,0.995039645894302,1.00727587979913,1.01466334132001,0.973781340495689,0.980226108368154
"565",1972,"X050113",1,"South",1.01007043006584,0.93581690703222,1.0032173755552,1.01860799263436,1.01198922381526,0.999707808808732,0.978704555905234,0.995024921456145,1.00726766148728,1.01465083416947,0.973763789193991,0.980204628281905
"566",1972,"X050193",4,"South",1.08685219707084,0.935793134963005,1.00318998087367,1.0185880471371,1.01195642364738,0.999677169060447,0.978678146073958,0.995010090588357,1.00725942862896,1.01463819347284,0.973746078515017,0.980183024498487
"568",1972,"X040055",25,"South",0.739967112791136,0.935745958801841,1.00313487431232,1.01854807984201,1.01189045999834,0.999615449993403,0.978624914021501,0.994980109924497,1.00724292024659,1.01461251186085,0.973710178321232,0.98013944657072
"569",1972,"X060028",12,"South",0.828153536547456,0.935722556278973,1.00310716305995,1.01852805891028,1.0118572970976,0.99958437121129,0.978598092313818,0.994964960313272,1.00723464520382,1.01459947114421,0.973691988474028,0.980117472806617
"571",1972,"X050184",9,"South",0.860605480942531,0.935676126407028,1.00305142617282,1.01848794460035,1.01179061056742,0.99952177649451,0.978544038867576,0.994934343004526,1.00721805460165,1.01457299035277,0.973655128506592,0.980073156673161
"573",1972,"X040045",9,"South",1.08971665276447,0.935630202388129,1.00299527217978,1.01844773645742,1.01172344492121,0.999458600701228,0.978489440562567,0.9949033022293,1.00720141153359,1.01454597765054,0.973617627237175,0.980028350461883
"577",1972,"X050134",5,"South",0.732339017595104,0.935539900192726,1.00288172275012,1.01836705151902,1.01158768493415,0.999330514515589,0.978378618718693,0.994839953506555,1.00716797531166,1.01449035892616,0.9735406968639,0.979937274936713
"581",1972,"X040070",19,"South",0.759677546239788,0.93545170915416,1.00276653437416,1.01828602887319,1.01145003387372,0.999200129946191,0.978265646485923,0.994774920853384,1.00713435080993,1.01443261909413,0.973461190763123,0.979844261441713
"582",1972,"X050255",8,"South",1.1424313171617,0.935429998672249,1.00273748347048,1.01826572320973,1.01141532750391,0.999167176714034,0.978237069894632,0.994758400400935,1.00712591688485,1.01441785309068,0.973440911201404,0.979820707187892
"585",1972,"X050289",9,"South",0.996341149324325,0.935365693369281,1.00264972643041,1.01820469184038,1.01131050757712,0.999067464351665,0.978150545209098,0.994708211386422,1.00710055173967,1.01437276116893,0.973379104374629,0.979749326715376
"587",1972,"X040018",2,"South",1.11422281289167,0.93532352249488,1.00259072111787,1.01816391231979,1.01124004592192,0.999000281615703,0.978092203300935,0.994674230185417,1.00708359087355,1.01434203856139,0.973337092705241,0.979701144541227
"588",1972,"X040019",18,"South",0.72741571425331,0.935302650213478,1.0025610691681,1.01814349596002,1.01120464125795,0.998966478719091,0.97806283583772,0.994657083392742,1.00707509581,1.0143264789168,0.973315844676679,0.979676875797886
