"Year","FishName","OtoWidth","Ages","Site","FSLann","FSLsumm","FSLaut","FSLwin","FSLspr","TannS","TsummS","TautS","TwinS","TsprS","TannW","TsummW","TautW","TwinW","TsprW"
2001,"X060028",13.517,41,"South",0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667,19.3,20.3666666666667,20.6833333333333,18.4533333333333,17.6966666666667,20.5475,21.37,21.9333333333333,19.87,19.0166666666667
2001,"X050116",20.28866667,39,"South",0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667,19.3,20.3666666666667,20.6833333333333,18.4533333333333,17.6966666666667,20.5475,21.37,21.9333333333333,19.87,19.0166666666667
2001,"X050099",11.17166667,55,"South",0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667,19.3,20.3666666666667,20.6833333333333,18.4533333333333,17.6966666666667,20.5475,21.37,21.9333333333333,19.87,19.0166666666667
2001,"X060119",18.945,31,"West",0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667,19.3,20.3666666666667,20.6833333333333,18.4533333333333,17.6966666666667,20.5475,21.37,21.9333333333333,19.87,19.0166666666667
2001,"X050103",17.26866667,44,"South",0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667,19.3,20.3666666666667,20.6833333333333,18.4533333333333,17.6966666666667,20.5475,21.37,21.9333333333333,19.87,19.0166666666667
2001,"X060135",16.118,38,"West",0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667,19.3,20.3666666666667,20.6833333333333,18.4533333333333,17.6966666666667,20.5475,21.37,21.9333333333333,19.87,19.0166666666667
2002,"X060133",23.91433333,34,"West",0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
2002,"X050289",19.90633333,39,"South",0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
2002,"X060254",13.538,56,"West",0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
2002,"X060180",12.60733333,50,"West",0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
2002,"X060227",15.397,30,"West",0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
