"Year","SouthSST_Annual","SST_South_Months_Jun","LagSouthSST_Spring","LagSST_South_Months_Sep","LagSST_South_Months_Nov","FinSouthSST_AnnEsts","LagFinSouthSST_AnnEsts","LagFinSouthSST_SpringDat","FSLdat_Annual","FSLdat_Summer","FSLdat_Autumn","FSLdat_Spring","FSL_months_Jan","FSL_months_Feb","FSL_months_Mar","FSL_months_Apr","FSL_months_May","FSL_months_Oct","LagFSLdat_Annual","LagFSLdat_Summer","LagFSLdat_Autumn","LagFSLdat_Winter","LagFSLdat_Spring","LagFSL_months_Feb","LagFSL_months_Apr","LagFSL_months_May","LagFSL_months_Jun","LagFSL_months_Jul","LagFSL_months_Aug","LagFSL_months_Sep","LagFSL_months_Oct","LagFSL_months_Nov","FinFSLdat_AnnEsts","FinFSLdat_SummerDat","FinFSLdat_AutumnDat","FinFSLdat_SpringDat","LagFinFSLdat_AnnEsts","LagFinFSLdat_SummerDat","LagFinFSLdat_AutumnDat","LagFinFSLdat_SpringDat"
1985,18.4683333333333,18.75,16.59,15.98,16.37,17.9608333333333,17.9608333333333,16.0833333333333,0.737166666666667,0.686333333333333,0.81,0.643666666666667,0.581,0.847,0.737,0.873,0.82,0.598,0.694083333333333,0.646,0.765333333333333,0.754,0.611,0.713,0.713,0.821,0.818,0.759,0.685,0.604,0.599,0.604,0.717416666666667,0.688333333333333,0.81,0.611,0.655583333333333,0.676333333333333,0.765333333333333,0.583666666666667
1986,17.5783333333333,18.06,16.0833333333333,16.94,16.73,17.4941666666667,17.4941666666667,16.6466666666667,0.694083333333333,0.646,0.765333333333333,0.611,0.685,0.713,0.762,0.713,0.821,0.599,0.65525,0.571333333333333,0.703,0.763,0.583666666666667,0.522,0.738,0.678,0.841,0.773,0.675,0.582,0.564,0.582,0.655583333333333,0.676333333333333,0.765333333333333,0.583666666666667,0.70475,0.546666666666667,0.703,0.774666666666667
1987,17.7866666666667,18.19,16.6466666666667,16.24,16.89,18.0875,18.0875,16.5766666666667,0.65525,0.571333333333333,0.703,0.583666666666667,0.578,0.522,0.693,0.738,0.678,0.564,0.776916666666667,0.669,0.811,0.853,0.774666666666667,0.702,0.795,0.901,0.924,0.826,0.809,0.697,0.781,0.697,0.70475,0.546666666666667,0.703,0.774666666666667,0.811833333333333,0.633666666666667,0.811,0.693666666666667
1988,18.045,18.38,16.5766666666667,16.5,17.33,18.1841666666667,18.1841666666667,16.69,0.776916666666667,0.669,0.811,0.774666666666667,0.585,0.702,0.737,0.795,0.901,0.781,0.780083333333333,0.741,0.874333333333333,0.811333333333333,0.693666666666667,0.829,0.907,0.914,0.849,0.827,0.758,0.685,0.687,0.685,0.811833333333333,0.633666666666667,0.811,0.693666666666667,0.729083333333333,0.770333333333333,0.874333333333333,0.628333333333333
1989,18.285,18.93,16.69,15.81,16.54,18.2016666666667,18.2016666666667,16.11,0.780083333333333,0.741,0.874333333333333,0.693666666666667,0.762,0.829,0.802,0.907,0.914,0.687,0.69875,0.685333333333333,0.755333333333333,0.726,0.628333333333333,0.762,0.753,0.776,0.764,0.755,0.659,0.611,0.609,0.611,0.729083333333333,0.770333333333333,0.874333333333333,0.628333333333333,0.698333333333333,0.684333333333333,0.755333333333333,0.616666666666667
1990,17.9091666666667,18.18,16.11,16.57,16.92,17.9225,17.9225,16.8433333333333,0.69875,0.685333333333333,0.755333333333333,0.628333333333333,0.659,0.762,0.737,0.753,0.776,0.609,0.705833333333333,0.597666666666667,0.791333333333333,0.817666666666667,0.616666666666667,0.572,0.837,0.823,0.894,0.86,0.699,0.593,0.617,0.593,0.698333333333333,0.684333333333333,0.755333333333333,0.616666666666667,0.701416666666667,0.604333333333333,0.791333333333333,0.622666666666667
1991,18.2825,18.61,16.8433333333333,15.56,15.88,18.2441666666667,18.2441666666667,15.76,0.705833333333333,0.597666666666667,0.791333333333333,0.616666666666667,0.606,0.572,0.714,0.837,0.823,0.617,0.699,0.620333333333333,0.744666666666667,0.808333333333333,0.622666666666667,0.655,0.766,0.793,0.9,0.772,0.753,0.662,0.599,0.662,0.701416666666667,0.604333333333333,0.791333333333333,0.622666666666667,0.661833333333333,0.624666666666667,0.744666666666667,0.608333333333333
1992,17.805,17.73,15.76,16.05,16.78,17.4733333333333,17.4733333333333,16.2833333333333,0.699,0.620333333333333,0.744666666666667,0.622666666666667,0.604,0.655,0.675,0.766,0.793,0.599,0.647,0.58,0.676333333333333,0.723333333333333,0.608333333333333,0.53,0.672,0.732,0.775,0.739,0.656,0.603,0.56,0.603,0.661833333333333,0.624666666666667,0.744666666666667,0.608333333333333,0.684416666666667,0.581666666666667,0.676333333333333,0.583333333333333
1993,17.5683333333333,17.64,16.2833333333333,16.66,17.12,17.7191666666667,17.7191666666667,16.74,0.647,0.58,0.676333333333333,0.608333333333333,0.613,0.53,0.625,0.672,0.732,0.56,0.685083333333333,0.633333333333333,0.778,0.745666666666667,0.583333333333333,0.64,0.777,0.807,0.799,0.747,0.691,0.609,0.565,0.609,0.684416666666667,0.581666666666667,0.676333333333333,0.583333333333333,0.685,0.62,0.778,0.724666666666667
1994,18.02,17.7,16.74,15.87,17.11,18.09,18.09,16.46,0.685083333333333,0.633333333333333,0.778,0.583333333333333,0.623,0.64,0.75,0.777,0.807,0.565,0.745,0.671,0.769,0.815333333333333,0.724666666666667,0.645,0.785,0.815,0.833,0.852,0.761,0.751,0.717,0.751,0.685,0.62,0.778,0.724666666666667,0.7955,0.630666666666667,0.769,0.785666666666667
