,(Intercept),FinFSLdat_AnnEsts,FinWestSST_AnnEsts,FinWestSST_SummerDat,FSL_months_Apr,FSLdat_Spring,s(Ages),SST_West_Months_Jul,SST_West_Months_Jun,SST_West_Months_Oct,SST_West_Months_Sep,WestSST_Spring,WestSST_Winter,df,logLik,AICc,delta,weight
1840,-13.10691467,-0.561431863,2.047706784,0.390239237,3.781091118,NA,+,NA,NA,0.485286774,0.744841297,-2.254987582,NA,12,-3294.247351,6612.766479,7.242206103,0.001352939
1532,-8.17167458,-5.499564127,1.713635687,NA,3.654645052,5.092186341,+,0.334762134,-0.07544416,0.279008205,NA,-1.024437119,NA,13,-3293.233097,6612.783543,7.259270138,0.001341444
2100,-6.435590591,-4.607365878,1.159645759,NA,NA,6.355797422,+,NA,NA,NA,NA,NA,0.091527489,9,-3297.322974,6612.802334,7.278061134,0.0013289
1132,-6.923399044,-0.312599557,1.523780194,NA,4.185256725,NA,+,0.2989759,NA,NA,NA,-0.700584875,NA,10,-3296.30559,6612.802485,7.278212365,0.001328799
126,-1.944630039,1.090723445,NA,0.362075879,0.740120117,1.785280969,+,0.588065899,NA,NA,NA,NA,NA,10,-3296.314245,6612.819795,7.295522684,0.001317348
3892,-8.55666567,-6.401689476,1.800014447,NA,NA,8.136136048,+,NA,NA,0.50427353,0.933536998,-1.936889759,0.042557308,12,-3294.27558,6612.822937,7.298664623,0.00131528
1144,-14.80784325,-3.327735778,1.438909319,0.490510338,NA,4.628160158,+,0.372877552,NA,NA,NA,-0.683084778,NA,11,-3295.298979,6612.827722,7.30344983,0.001312137
570,5.576345137,-1.260209064,NA,NA,1.584708714,3.984123283,+,NA,NA,NA,0.595499066,NA,NA,9,-3297.339727,6612.835839,7.311566735,0.001306823
3828,-5.369829171,-5.583724919,1.112803053,NA,NA,7.20740211,+,1.011739833,0.33421842,NA,0.833149135,-0.525897282,-1.547315742,13,-3293.264921,6612.847192,7.322919779,0.001299425
3692,-4.972574524,-0.060075462,1.357850653,NA,4.250377493,NA,+,0.627761642,NA,NA,0.68580302,-0.862560826,-0.766740659,12,-3294.310518,6612.892813,7.368540412,0.001270121
